N,Iterative,Dynamic Programming,Recursive
139,0.001700,0.003805,-
140,0.001754,0.003650,-
141,0.001903,0.003903,-
142,0.001871,0.004053,-
143,0.001993,0.003989,-
144,0.002016,0.004919,-
145,0.001915,0.004711,-
146,0.002135,0.004024,-
147,0.001945,0.004199,-
148,0.001934,0.004357,-
149,0.002091,0.004181,-
150,0.002182,0.004737,-
151,0.002079,0.004765,-
152,0.002073,0.004547,-
153,0.002151,0.004396,-
154,0.002131,0.004696,-
155,0.002125,0.004595,-
156,0.002196,0.004727,-
157,0.002444,0.004599,-
158,0.002575,0.005023,-
159,0.002298,0.004896,-
160,0.002428,0.004784,-
161,0.002537,0.005016,-
162,0.002415,0.004899,-
163,0.002453,0.005094,-
164,0.002456,0.005502,-
165,0.002856,0.005051,-
166,0.002506,0.005362,-
167,0.002824,0.005138,-
168,0.002890,0.005564,-
169,0.003751,0.005444,-
170,0.002970,0.005328,-
171,0.002712,0.006781,-
172,0.002712,0.006217,-
173,0.002907,0.006025,-
174,0.002963,0.005937,-
175,0.002978,0.006270,-
176,0.002872,0.005883,-
177,0.003273,0.006045,-
178,0.005818,0.007002,-
179,0.003592,0.005803,-
180,0.003199,0.006412,-
181,0.003162,0.005907,-
182,0.003132,0.006308,-
183,0.003177,0.006700,-
184,0.003225,0.006664,-
185,0.003361,0.006784,-
186,0.003374,0.006586,-
187,0.003183,0.007477,-
188,0.003839,0.006658,-
189,0.003360,0.006779,-
190,0.003244,0.006945,-
191,0.003305,0.007584,-
192,0.003605,0.006866,-
193,0.003573,0.006931,-
194,0.003417,0.007065,-
195,0.003457,0.007714,-
196,0.003454,0.007445,-
197,0.003931,0.007145,-
198,0.003929,0.007621,-
199,0.003813,0.007651,-
200,0.004262,0.009226,-
201,0.003782,0.007400,-
202,0.003654,0.007468,-
203,0.003689,0.008003,-
204,0.003755,0.007995,-
205,0.005056,0.007748,-
206,0.003990,0.007653,-
207,0.004316,0.008621,-
208,0.004387,0.009697,-
209,0.003954,0.009332,-
210,0.004880,0.008810,-
211,0.004218,0.008165,-
212,0.004590,0.008963,-
213,0.004049,0.008544,-
214,0.004313,0.008537,-
215,0.004174,0.009462,-
216,0.004732,0.008657,-
217,0.004454,0.009005,-
218,0.004438,0.009166,-
219,0.004526,0.008836,-
220,0.004474,0.009784,-
221,0.004524,0.009405,-
222,0.004719,0.009017,-
223,0.005013,0.010217,-
224,0.004866,0.009156,-
225,0.004715,0.009384,-
226,0.005092,0.009721,-
227,0.005099,0.009486,-
228,0.005144,0.009650,-
229,0.005293,0.009868,-
230,0.004742,0.011473,-
231,0.005609,0.009899,-
232,0.005467,0.010378,-
233,0.005690,0.010705,-
234,0.005903,0.011129,-
235,0.005333,0.010654,-
236,0.005910,0.010349,-
237,0.005990,0.010685,-
238,0.010008,0.015848,-
239,0.005313,0.010412,-
240,0.005590,0.010820,-
241,0.005349,0.010540,-
242,0.005447,0.010728,-
243,0.006114,0.011945,-
244,0.005892,0.011342,-
245,0.007130,0.012091,-
246,0.007719,0.011655,-
247,0.006508,0.011315,-
248,0.006415,0.011448,-
249,0.007074,0.013295,-
250,0.006545,0.012884,-
251,0.005793,0.013555,-
252,0.006006,0.014145,-
253,0.007114,0.011620,-
254,0.005892,0.011596,-
255,0.006591,0.013279,-
256,0.007395,0.011990,-
257,0.006276,0.013224,-
258,0.006766,0.012189,-
259,0.006529,0.012965,-
260,0.006398,0.013345,-
261,0.006652,0.013219,-
262,0.008411,0.014358,-
263,0.007830,0.013600,-
264,0.007729,0.012953,-
265,0.007142,0.012651,-
266,0.006845,0.014063,-
267,0.007269,0.013250,-
268,0.006989,0.015170,-
269,0.006793,0.014094,-
270,0.007377,0.013718,-
271,0.007270,0.013829,-
272,0.011939,0.013786,-
273,0.007647,0.014048,-
274,0.007001,0.013650,-
275,0.008019,0.014658,-
276,0.007286,0.015029,-
277,0.007566,0.014314,-
278,0.007876,0.015410,-
279,0.007852,0.015321,-
280,0.007701,0.015190,-
281,0.008579,0.015281,-
282,0.009124,0.015433,-
283,0.007579,0.016575,-
284,0.008872,0.016605,-
285,0.010177,0.015644,-
286,0.008369,0.016102,-
287,0.008987,0.015797,-
288,0.008177,0.015713,-
289,0.007922,0.015541,-
290,0.008608,0.015568,-
291,0.008654,0.016228,-
292,0.008450,0.016750,-
293,0.008182,0.017513,-
294,0.009154,0.015774,-
295,0.008988,0.018536,-
296,0.008587,0.018002,-
297,0.009270,0.018482,-
298,0.010081,0.018441,-
299,0.008742,0.018558,-
300,0.009681,0.019037,-
301,0.009408,0.019541,-
302,0.009210,0.018521,-
303,0.009147,0.018210,-
304,0.009446,0.019671,-
305,0.008905,0.018257,-
306,0.010229,0.019228,-
307,0.009154,0.018893,-
308,0.009196,0.019880,-
309,0.010646,0.020769,-
310,0.009718,0.020126,-
311,0.010320,0.020022,-
312,0.009862,0.021185,-
313,0.009515,0.023629,-
314,0.009633,0.020510,-
315,0.010457,0.019953,-
316,0.010559,0.021187,-
317,0.016873,0.023488,-
318,0.009886,0.020606,-
319,0.011209,0.020308,-
320,0.011285,0.021053,-
321,0.009892,0.019788,-
322,0.010915,0.023222,-
323,0.010372,0.021384,-
324,0.010831,0.021569,-
325,0.010417,0.022451,-
326,0.010254,0.021597,-
327,0.011288,0.021790,-
328,0.011693,0.021754,-
329,0.010927,0.022041,-
330,0.011094,0.021656,-
331,0.010941,0.021439,-
332,0.010927,0.021907,-
333,0.010823,0.022015,-
334,0.011469,0.022194,-
335,0.012354,0.024969,-
336,0.013387,0.025869,-
337,0.011464,0.021521,-
338,0.011443,0.022000,-
339,0.011332,0.022337,-
340,0.011552,0.028620,-
341,0.011402,0.024013,-
342,0.011226,0.023474,-
343,0.011905,0.022734,-
344,0.012534,0.027083,-
345,0.012486,0.023362,-
346,0.012183,0.024531,-
347,0.011653,0.024402,-
348,0.011863,0.023138,-
349,0.012444,0.023963,-
350,0.012128,0.023533,-
351,0.012854,0.024420,-
352,0.012481,0.025163,-
353,0.013221,0.025781,-
354,0.012787,0.023939,-
355,0.013724,0.025568,-
356,0.013566,0.026586,-
357,0.020317,0.032618,-
358,0.012490,0.024415,-
359,0.012534,0.025473,-
360,0.013661,0.028367,-
361,0.013259,0.026603,-
362,0.012881,0.026395,-
363,0.013416,0.025617,-
364,0.013150,0.026035,-
365,0.013492,0.027462,-
366,0.013143,0.032161,-
367,0.013588,0.027037,-
368,0.013201,0.026987,-
369,0.015128,0.029720,-
370,0.013709,0.028887,-
371,0.013828,0.027076,-
372,0.013790,0.027369,-
373,0.013902,0.028656,-
374,0.013912,0.027597,-
375,0.014058,0.027526,-
376,0.014472,0.028256,-
377,0.013918,0.027613,-
378,0.015323,0.027827,-
379,0.014404,0.029010,-
380,0.014408,0.027619,-
381,0.015054,0.028073,-
382,0.015140,0.030758,-
383,0.019109,0.030884,-
384,0.014932,0.030774,-
385,0.015599,0.029357,-
386,0.015091,0.028964,-
387,0.015587,0.031029,-
388,0.016170,0.033039,-
389,0.016882,0.032985,-
390,0.020222,0.039744,-
391,0.018259,0.036038,-
392,0.016813,0.038510,-
393,0.015611,0.034704,-
394,0.015337,0.033833,-
395,0.015509,0.033987,-
396,0.016003,0.033670,-
397,0.016696,0.035424,-
398,0.015492,0.034617,-
399,0.016640,0.034937,-
400,0.016668,0.034480,-
401,0.016263,0.035227,-
402,0.016310,0.036717,-
403,0.017178,0.037810,-
404,0.016605,0.034468,-
405,0.017588,0.035576,-
406,0.017357,0.035846,-
407,0.016859,0.036886,-
408,0.018041,0.037078,-
409,0.017402,0.038426,-
410,0.017979,0.038431,-
411,0.017987,0.049166,-
412,0.019898,0.046491,-
413,0.019643,0.051674,-
414,0.018298,0.042305,-
415,0.018604,0.040523,-
416,0.017812,0.038714,-
417,0.017437,0.042639,-
418,0.017312,0.039077,-
419,0.018083,0.039337,-
420,0.019370,0.041631,-
421,0.018540,0.041558,-
422,0.018346,0.041039,-
423,0.020273,0.057830,-
424,0.018299,0.039028,-
425,0.017668,0.040061,-
426,0.019015,0.040047,-
427,0.018628,0.042312,-
428,0.019955,0.043781,-
429,0.020862,0.041881,-
430,0.019614,0.045134,-
431,0.029024,0.049493,-
432,0.019184,0.043802,-
433,0.027602,0.046670,-
434,0.018778,0.044495,-
435,0.020260,0.043875,-
436,0.020250,0.043714,-
437,0.019814,0.043982,-
438,0.019870,0.045893,-
439,0.020080,0.044930,-
440,0.020782,0.048996,-
441,0.020946,0.046764,-
442,0.024389,0.054877,-
443,0.021671,0.044001,-
444,0.020530,0.045010,-
445,0.022395,0.045095,-
446,0.019757,0.048366,-
447,0.021119,0.047697,-
448,0.021424,0.047732,-
449,0.020832,0.052050,-
450,0.021003,0.048859,-
451,0.023969,0.057554,-
452,0.021451,0.046844,-
453,0.020805,0.048835,-
454,0.022070,0.046670,-
455,0.024670,0.047769,-
456,0.021562,0.048520,-
457,0.022204,0.047785,-
458,0.022798,0.047710,-
459,0.021814,0.047859,-
460,0.028952,0.054144,-
461,0.022645,0.046251,-
462,0.022131,0.047123,-
463,0.022321,0.047245,-
464,0.021838,0.048652,-
465,0.022526,0.049656,-
466,0.023591,0.047751,-
467,0.022058,0.050390,-
468,0.023149,0.048984,-
469,0.024700,0.049684,-
470,0.023320,0.050101,-
471,0.024060,0.048716,-
472,0.023827,0.053605,-
473,0.023912,0.052072,-
474,0.025010,0.053308,-
475,0.026750,0.051288,-
476,0.026954,0.052549,-
477,0.045762,0.074493,-
478,0.025687,0.048973,-
479,0.023263,0.049234,-
480,0.023083,0.050269,-
481,0.023941,0.051211,-
482,0.024209,0.050289,-
483,0.024432,0.052099,-
484,0.025431,0.067403,-
485,0.027308,0.065625,-
486,0.026240,0.052364,-
487,0.025362,0.051436,-
488,0.025308,0.053223,-
489,0.026418,0.056364,-
490,0.024985,0.055392,-
491,0.025084,0.056309,-
492,0.027395,0.054835,-
493,0.026975,0.061905,-
494,0.024543,0.052898,-
495,0.026012,0.054368,-
496,0.025625,0.053089,-
497,0.026415,0.055709,-
498,0.026315,0.055212,-
499,0.027880,0.056881,-
500,0.026436,0.059901,-
501,0.032649,0.068835,-
502,0.025730,0.054926,-
503,0.026165,0.061104,-
504,0.026408,0.057668,-
505,0.027912,0.059895,-
506,0.027665,0.060023,-
507,0.030433,0.057523,-
508,0.027138,0.060410,-
509,0.036406,0.056970,-
510,0.026517,0.055671,-
511,0.026839,0.057987,-
512,0.027059,0.057766,-
513,0.027411,0.058032,-
514,0.031394,0.061040,-
515,0.028639,0.153942,-
516,0.030426,0.060858,-
517,0.027747,0.055450,-
518,0.027948,0.061903,-
519,0.028224,0.065178,-
520,0.029388,0.061529,-
521,0.028130,0.059312,-
522,0.029025,0.059320,-
523,0.031064,0.070042,-
524,0.028235,0.059348,-
525,0.031008,0.057651,-
526,0.028731,0.060523,-
527,0.028995,0.059757,-
528,0.029561,0.060752,-
529,0.029663,0.063093,-
530,0.032310,0.087688,-
531,0.030308,0.063455,-
532,0.029938,0.060946,-
533,0.030884,0.062781,-
534,0.030523,0.063371,-
535,0.033196,0.067310,-
536,0.080484,0.156163,-
537,0.029169,0.060264,-
538,0.028994,0.066310,-
539,0.033757,0.067387,-
540,0.032629,0.068310,-
541,0.038583,0.070641,-
542,0.031256,0.064989,-
543,0.037838,0.080382,-
544,0.032538,0.066399,-
545,0.030878,0.064180,-
546,0.031624,0.065845,-
547,0.031995,0.064038,-
548,0.031508,0.067533,-
549,0.032301,0.069767,-
550,0.032179,0.069623,-
551,0.034318,0.069320,-
552,0.033325,0.067533,-
553,0.035193,0.066746,-
554,0.032334,0.066942,-
555,0.034489,0.074505,-
556,0.041745,0.080232,-
557,0.032829,0.116362,-
558,0.042469,0.076838,-
559,0.032507,0.067384,-
560,0.040099,0.070823,-
561,0.033104,0.072092,-
562,0.033513,0.069368,-
563,0.038538,0.070385,-
564,0.037697,0.078797,-
565,0.034988,0.076495,-
566,0.035039,0.074371,-
567,0.040303,0.080365,-
568,0.034097,0.071861,-
569,0.045709,0.083863,-
570,0.036307,0.071109,-
571,0.035535,0.072894,-
572,0.087278,0.085123,-
573,0.035131,0.072530,-
574,0.035423,0.126385,-
575,0.042630,0.075863,-
576,0.034423,0.079179,-
577,0.039756,0.077420,-
578,0.035825,0.078448,-
579,0.038026,0.077085,-
580,0.038224,0.085069,-
581,0.041385,0.161602,-
582,0.040881,0.076991,-
583,0.037921,0.076772,-
584,0.037035,0.075468,-
585,0.036316,0.075985,-
586,0.035519,0.075875,-
587,0.039535,0.080806,-
588,0.038273,0.094238,-
589,0.037494,0.077963,-
590,0.037372,0.086062,-
591,0.041867,0.084678,-
592,0.049757,0.083219,-
593,0.048903,0.086324,-
594,0.042244,0.094442,-
595,0.037409,0.081347,-
596,0.039995,0.085535,-
597,0.039108,0.081295,-
598,0.039732,0.092728,-
599,0.040328,0.082168,-
600,0.040294,0.081193,-
601,0.038000,0.080484,-
602,0.040040,0.086454,-
603,0.040266,0.086403,-
604,0.038999,0.083755,-
605,0.039438,0.084370,-
606,0.042915,0.099755,-
607,0.040800,0.089464,-
608,0.041061,0.090641,-
609,0.047943,0.090161,-
610,0.041917,0.096996,-
611,0.038974,0.084284,-
612,0.040605,0.089276,-
613,0.042418,0.090212,-
614,0.042887,0.091958,-
615,0.044063,0.089941,-
616,0.049222,0.099671,-
617,0.043918,0.097952,-
618,0.041868,0.088683,-
619,0.041607,0.092808,-
620,0.043049,0.093153,-
621,0.043420,0.096600,-
622,0.042806,0.088972,-
623,0.042364,0.088166,-
624,0.043686,0.091101,-
625,0.043355,0.100529,-
626,0.043220,0.093649,-
627,0.042424,0.088828,-
628,0.050674,0.101815,-
629,0.043382,0.091095,-
630,0.043045,0.096239,-
631,0.048028,0.096602,-
632,0.051590,0.091773,-
633,0.043058,0.094914,-
634,0.044202,0.092275,-
635,0.043184,0.095438,-
636,0.045899,0.092340,-
637,0.044546,0.097719,-
638,0.043707,0.094294,-
639,0.047667,0.106677,-
640,0.044792,0.092724,-
641,0.045394,0.097105,-
642,0.046555,0.103739,-
643,0.044961,0.096288,-
644,0.044495,0.094925,-
645,0.046453,0.097864,-
646,0.046482,0.104187,-
647,0.047680,0.101217,-
648,0.055939,0.098157,-
649,0.045243,0.124234,-
650,0.050716,0.102854,-
651,0.047876,0.101793,-
652,0.049331,0.104178,-
653,0.056209,0.096205,-
654,0.046225,0.098881,-
655,0.046236,0.095638,-
656,0.047657,0.102802,-
657,0.048766,0.106824,-
658,0.057867,0.100914,-
659,0.047507,0.101642,-
660,0.051214,0.119807,-
661,0.057078,0.107778,-
662,0.050827,0.105596,-
663,0.056380,0.102110,-
664,0.048956,0.103987,-
665,0.048178,0.107883,-
666,0.048676,0.107449,-
667,0.063480,0.102726,-
668,0.048660,0.105571,-
669,0.047692,0.101453,-
670,0.049937,0.108363,-
671,0.051040,0.107525,-
672,0.053779,0.110094,-
673,0.050825,0.107673,-
674,0.052073,0.111758,-
675,0.051837,0.113229,-
676,0.052546,0.110661,-
677,0.052766,0.124097,-
678,0.051244,0.105789,-
679,0.050538,0.128151,-
680,0.050323,0.108365,-
681,0.050926,0.110010,-
682,0.051672,0.112619,-
683,0.052088,0.109952,-
684,0.053368,0.114267,-
685,0.055390,0.120379,-
686,0.054306,0.121681,-
687,0.052361,0.108668,-
688,0.053297,0.115000,-
689,0.055420,0.122041,-
690,0.052303,0.113713,-
691,0.053228,0.116584,-
692,0.054290,0.113567,-
693,0.052716,0.116647,-
694,0.054237,0.115263,-
695,0.054526,0.117437,-
696,0.057756,0.114555,-
697,0.052852,0.119180,-
698,0.072339,0.133610,-
699,0.057673,0.121451,-
700,0.054743,0.131704,-
701,0.052622,0.113816,-
702,0.054134,0.118875,-
703,0.055757,0.120715,-
704,0.054898,0.122394,-
705,0.058535,0.115130,-
706,0.056884,0.114164,-
707,0.057052,0.147140,-
708,0.056318,0.129138,-
709,0.058347,0.122217,-
710,0.056736,0.123547,-
711,0.058129,0.120985,-
712,0.060520,0.126886,-
713,0.058307,0.144498,-
714,0.056617,0.117976,-
715,0.057421,0.123379,-
716,0.075773,0.137717,-
717,0.061880,0.129836,-
718,0.057478,0.136693,-
719,0.081179,0.139121,-
720,0.057147,0.122401,-
721,0.056897,0.134646,-
722,0.058601,0.135449,-
723,0.059957,0.130314,-
724,0.058550,0.155997,-
725,0.066549,0.133878,-
726,0.059811,0.128491,-
727,0.060357,0.139490,-
728,0.058872,0.131549,-
729,0.061020,0.137519,-
730,0.068511,0.134828,-
731,0.062253,0.131424,-
732,0.060623,0.166053,-
733,0.058706,0.128812,-
734,0.064975,0.128909,-
735,0.060886,0.137084,-
736,0.063063,0.138910,-
737,0.067244,0.144248,-
738,0.069893,0.133932,-
739,0.065225,0.136922,-
740,0.066645,0.169354,-
741,0.063022,0.130171,-
742,0.062798,0.135018,-
743,0.062214,0.148827,-
744,0.064742,0.133771,-
745,0.062920,0.136738,-
746,0.061837,0.130517,-
747,0.063309,0.134505,-
748,0.061247,0.154519,-
749,0.061098,0.133989,-
750,0.071242,0.128396,-
751,0.062595,0.138206,-
752,0.065000,0.141028,-
753,0.064675,0.144472,-
754,0.061058,0.132602,-
755,0.065000,0.132982,-
756,0.062512,0.162776,-
757,0.063378,0.156902,-
758,0.061259,0.143576,-
759,0.073122,0.134285,-
760,0.064299,0.138775,-
761,0.068062,0.151589,-
762,0.064381,0.139415,-
763,0.067017,0.143878,-
764,0.072798,0.175298,-
765,0.068478,0.150977,-
766,0.066176,0.152314,-
767,0.072951,0.148759,-
768,0.082893,0.134052,-
769,0.065328,0.144893,-
770,0.071304,0.146055,-
771,0.066759,0.147223,-
772,0.092794,0.190544,-
773,0.068965,0.154421,-
774,0.068420,0.153030,-
775,0.070908,0.142232,-
776,0.069868,0.155424,-
777,0.066779,0.144841,-
778,0.071555,0.150672,-
779,0.070473,0.169130,-
780,0.068920,0.149060,-
781,0.068257,0.154927,-
782,0.073792,0.160047,-
783,0.069360,0.162262,-
784,0.066814,0.152257,-
785,0.071611,0.152089,-
786,0.071512,0.154049,-
787,0.081501,0.174813,-
788,0.069068,0.160178,-
789,0.073141,0.157773,-
790,0.073666,0.173022,-
791,0.068919,0.146217,-
792,0.069546,0.148704,-
793,0.069906,0.153185,-
794,0.103304,0.166759,-
795,0.068517,0.161453,-
796,0.076845,0.159200,-
797,0.073575,0.165477,-
798,0.070265,0.148684,-
799,0.070777,0.151728,-
800,0.070726,0.150406,-
801,0.072274,0.190936,-
802,0.076849,0.156733,-
803,0.070304,0.162346,-
804,0.073341,0.170393,-
805,0.071407,0.154646,-
806,0.092080,0.152612,-
807,0.072138,0.151436,-
808,0.077907,0.195266,-
809,0.079315,0.167128,-
810,0.072569,0.163461,-
811,0.077565,0.172266,-
812,0.075259,0.156725,-
813,0.072462,0.154841,-
814,0.073380,0.156999,-
815,0.077669,0.187030,-
816,0.078423,0.169332,-
817,0.077319,0.166997,-
818,0.077980,0.166358,-
819,0.074586,0.159025,-
820,0.075327,0.165903,-
821,0.081886,0.169692,-
822,0.092322,0.183640,-
823,0.090381,0.184461,-
824,0.079485,0.182541,-
825,0.083238,0.178322,-
826,0.080958,0.177169,-
827,0.080968,0.162657,-
828,0.076649,0.192952,-
829,0.074778,0.174545,-
830,0.082263,0.181828,-
831,0.078158,0.179287,-
832,0.081995,0.174119,-
833,0.081987,0.183360,-
834,0.079930,0.192859,-
835,0.079187,0.208390,-
836,0.083950,0.187450,-
837,0.081446,0.189425,-
838,0.081812,0.172887,-
839,0.081746,0.193328,-
840,0.088368,0.184501,-
841,0.107045,0.204312,-
842,0.079948,0.182842,-
843,0.085952,0.184268,-
844,0.080216,0.173149,-
845,0.082508,0.178132,-
846,0.082572,0.181750,-
847,0.094667,0.225922,-
848,0.086711,0.184160,-
849,0.084879,0.194142,-
850,0.081815,0.174342,-
851,0.082888,0.177521,-
852,0.086422,0.187147,-
853,0.103606,0.222801,-
854,0.080063,0.176905,-
855,0.085974,0.216209,-
856,0.087025,0.189608,-
857,0.086588,0.208392,-
858,0.084267,0.214817,-
859,0.083734,0.237785,-
860,0.088140,0.192249,-
861,0.085689,0.199227,-
862,0.084055,0.182122,-
863,0.082832,0.183436,-
864,0.094323,0.196736,-
865,0.083696,0.236435,-
866,0.086499,0.193019,-
867,0.087643,0.209755,-
868,0.083693,0.187187,-
869,0.088771,0.196164,-
870,0.086639,0.193735,-
871,0.092010,0.238407,-
872,0.087079,0.186446,-
873,0.088378,0.203956,-
874,0.085829,0.194938,-
875,0.095830,0.184957,-
876,0.087382,0.195547,-
877,0.099935,0.221026,-
878,0.089236,0.192031,-
879,0.089035,0.205098,-
880,0.088285,0.195842,-
881,0.092682,0.199705,-
882,0.087990,0.212981,-
883,0.118602,0.239762,-
884,0.090237,0.197679,-
885,0.092510,0.191238,-
886,0.089403,0.194011,-
887,0.090405,0.191111,-
888,0.103273,0.191844,-
889,0.116807,0.218810,-
890,0.096071,0.215441,-
891,0.090593,0.196293,-
892,0.095699,0.211211,-
893,0.088298,0.209032,-
894,0.102699,0.187797,-
895,0.088223,0.215738,-
896,0.089514,0.215679,-
897,0.095549,0.212325,-
898,0.101564,0.202234,-
899,0.103288,0.197394,-
900,0.092830,0.242215,-
901,0.094250,0.198709,-
902,0.101331,0.244365,-
903,0.133208,0.244465,-
904,0.095182,0.228837,-
905,0.104562,0.221287,-
906,0.095651,0.197198,-
907,0.095380,0.201854,-
908,0.092044,0.205665,-
909,0.094827,0.228438,-
910,0.099364,0.208976,-
911,0.100082,0.278244,-
912,0.094856,0.213804,-
913,0.096767,0.201909,-
914,0.094970,0.206590,-
915,0.098345,0.198212,-
916,0.096174,0.253053,-
917,0.100307,0.214988,-
918,0.100950,0.204061,-
919,0.102961,0.203158,-
920,0.098026,0.210669,-
921,0.096494,0.210890,-
922,0.130851,0.240806,-
923,0.096766,0.210728,-
924,0.097642,0.215585,-
925,0.095407,0.222882,-
926,0.098036,0.206683,-
927,0.099785,0.252066,-
928,0.098184,0.216542,-
929,0.099513,0.212121,-
930,0.098107,0.209059,-
931,0.102277,0.211779,-
932,0.103993,0.232529,-
933,0.130403,0.252591,-
934,0.101296,0.220871,-
935,0.101938,0.237424,-
936,0.110094,0.216866,-
937,0.104064,0.240379,-
938,0.130781,0.243966,-
939,0.100041,0.228866,-
940,0.104807,0.229282,-
941,0.111641,0.220672,-
942,0.109550,0.224212,-
943,0.103600,0.289528,-
944,0.102142,0.239777,-
945,0.107814,0.230765,-
946,0.114708,0.217622,-
947,0.105073,0.221391,-
948,0.106681,0.275636,-
949,0.106374,0.237512,-
950,0.117423,0.222608,-
951,0.105800,0.218315,-
952,0.103814,0.223638,-
953,0.108390,0.277235,-
954,0.106549,0.235209,-
955,0.110374,0.237166,-
956,0.117435,0.222171,-
957,0.106513,0.222348,-
958,0.111062,0.278373,-
959,0.117025,0.233754,-
960,0.114797,0.239538,-
961,0.116973,0.227771,-
962,0.108072,0.237447,-
963,0.112548,0.294132,-
964,0.113627,0.226355,-
965,0.110414,0.232889,-
966,0.114939,0.249223,-
967,0.126309,0.262578,-
968,0.183502,0.285375,-
969,0.113867,0.254664,-
970,0.118680,0.245560,-
971,0.115263,0.234828,-
972,0.115584,0.233463,-
973,0.153368,0.270766,-
974,0.127593,0.246918,-
975,0.125733,0.229589,-
976,0.118375,0.246140,-
977,0.118588,0.248694,-
978,0.155381,0.274844,-
979,0.118042,0.253413,-
980,0.121590,0.237419,-
981,0.120436,0.244607,-
982,0.119830,0.235832,-
983,0.128621,0.254519,-
984,0.116994,0.251349,-
985,0.118840,0.244862,-
986,0.123864,0.261458,-
987,0.114155,0.285552,-
988,0.117766,0.246289,-
989,0.118157,0.242597,-
990,0.125969,0.253298,-
991,0.120081,0.258921,-
